,recommend_to_a_friend,review_text
33,False,comprei o produto que veio com defeito montamos o produto conforme manual mas a moto não consegue receber a energia que a bateria produz  antes de  dias de compra solicitei a troca do produto e tanto a lojas americanas como a loja cuba não me retornam único retorno que tive foi para verificar os fios que já foram verificados várias vezes já retornei com email mas não me retornam um descaso total não consigo solicitar a troca do produto por mais nenhum meio de comunicação quando ligo nas lojas americanas pedem para digitar o cpf se eu digito o meu cpf ele derrubam a ligação não sei mais o que fazer
34,True,top de linha vale a pena comprar gostei e não me arrependo de ter comprado
35,True,excelente produtogostei mesmo excelente produtogostei mesmo
36,True,excelente produtogostei mesmo excelente produtogostei mesmo
37,True,melhor custo benefício exatamente  como anunciado recomendo 
38,True,sim e um bom produto pode comprar sem poblema gostei muito do produto
39,True,gostaria de saber se esse celular tem câmera frontal
40,True,com exceção que veio a marca verde ao invés de jl  protect  funciona super bem  essas coisas chinesas são bem parecidas mesmo
41,True,ótimo elástico mel e todo ao contrário de uns que vem elástico so nas pontas
42,True,achei lindo too de linha design lindo câmera resposta boa rápida preço e prazo tudo certinhoadorei o celularparabéns americanasnota dez
43,True,fiquei satisfeito com a segurança e garantia de toda transação entretanto fiz outra compra no dia  e até hoje não foi entregue o que diferencia uma compra da outra com relação a entrega
44,True,adorei o produto é bonito e prático recomendo a entrega foi feita antes do prazo
45,False,nao veio esse produto nao chegou entao não tem como eu avalia
46,True,máscara de cílios incrível tenho pouquíssimo cílios e ela deu um super efeito amei
47,True,aparelho de ótima qualidade e sem defeitos entrega com pontualidade e qualidade 
48,True,o produto chegou no prazo e em ótimo estado tenho sido muito bem atendida quando solicito algo no site
49,True,tem bom acabamento e é pratico serviu para o que eu precisava
50,True,ótimo equipamento som forte portátil prático uso muito
51,True,perfeito funciona muito bem ótimo acabamento recomendo
52,True,o produto é  excelência para doméstico quando quer usar você monta e quando não usa você desmonta
53,True,cabelos alinhados sem frizz e muito mais rápido do que com escova convencional aprovadíssimo
54,False,a câmera frontal do meu é terrível tanto faz tá claro ou escuro a foto fica ruim de qualquer jeito muito arrependida
55,True,gostei do produto valeu a pena a compra atendeu ao objetivo para o qual foi adquirido
56,True,muito útil para pesquisas e baixar publicações e vídeos usando o app jw library  parabéns
57,False,não recebi o produto e a transportadora colocou que recebi preciso receber esse produto
58,False,secador bom mas cumpre o papel de um secador mediano não tem nada de especial não acho que vale o que custa se eu soubesse teria investido mais em outro melhor ou menos em outro que provavelmente faria a mesma coisa
59,True,recomendo produto muito bom material de boa qualidade
60,True,parece original veio com os lacres e tudo certoentregou até rápido por ser final de ano
61,True,produto funciona corretamente e é muito bom mas é importante sempre destacar no anúncio que a bateria é de uma boa marca mas diferente da marca samsung
62,True,produto cumpre o que fala único porém é que a internet cai um pouco a velocidade
63,True,minha neta está encantada com a boneca e a entrega melhor ainda antes do prazo de entrega parabéns
64,False,claro q eu não esperava um fone maravilhoso mas o som q vem desse fone é horrível se equipara ao comprado emcamelôs
65,True,produto atendeu nossa necessidade e a entrega foi excelente
66,True,muito bom com bastante memória câmera excelente e  outros mais recomendo
67,False,ele é bom pra criança pois tem as teclas pequenas
68,True,muito bom veio no esperadonão pensei que vinha em  dia produto muito bom recomendo a todos que fazer pedido pelo email das lojas americanas não vai se arrepender produto muito bom  sds jair feliz ano novo para toda a lojas americanas em geral
69,False,comprei o produto dia  até hoje dia  não chegou é uma vergonha dão um prazo e não cumprir e não adianta falar que é devido ao movimento de final de ano  pois pedi um outro produto em outro site e em  dias estava na minha casa não compro mais
70,True,água gelada à disposição a turma bebe mais água e isso é ótimo aparelho silencioso e bonito com espaço para acomodar uma jarra pode parecer pouca a diferença entre pegar água da geladeira ou do filtro mas considerando que na geladeira há outras opções e o bom é beber água a prática mostrou que vale a pena essa facilidade e a saúde agradece
71,True,o produto tem um acabamento regular a parte final as peças vieram com o corte torto vale pelo preço mais acessível se comparado com outros lojas
72,False,achei o produto muito inferior  pois as bonecas tem uma qualidade bem melhor porém esse kit deixou muito a desejar as massinhas são tão pequenas que teria quase que comprar umas  de cada pra fazer alguma coisa  masssss ok
73,True,adorei a cafeteira  o encaixe é perfeito e não passa pó para o café  prontominha antiga passava
74,True,adorei agora faço meus pães em casa com muito mais qualidade e muito mais saudáveis
75,True,a entrega sempre no prazo e muitas vezes até antes o produto com um custo benefício muito bom recomendo tanto o site quanto o produto
76,True,resistente bonita e super espaçosa serviu muito bem para o que foi comprada
77,False,o produto é completamente diferente da descrição e da foto não recomendo
78,True,linda bola de pelúcia acabamento impecável poderiam fazer em um tamanho pequeno também para bebês mas o produto é muito bom
79,False,isso e um absurdo ate agora não entregou comprei pra entregar ate  e ate hoje não foi entregue  hoje e dia 
80,True,produto de primeira e o tamanho adequado para  a  pessoas
81,False,produto de péssima qualidade quase tudo de papelão não acompanha os carrinhos produto de qualidade inferior não comprem não iludam seus filhos produto lixo
82,True,muito bom produto excelenteentrega muito rápido recomendadíssimo
83,True,nunca estive tão esperançoso para receber um produto como este porém ainda não se encontra em minha mãos portanto prefiro avaliálo após sua chegada  att   amador
84,False,loja ruim cancelou a compra sem solicitaçao de cancelamento e comunicou o cliente
85,True,recomendo produto original tudo ok entregue dentro do prazo prometido
86,True,produto com bom shape resistente e bonito truck com qualidade e macio
87,False,até hoje não recebí o produto não recomendo a loja pra ninguém era presente de natalpéssimo atendimento nenhum esforço dos atendetes para melhorar entregatô fora dessa loja
88,True,ótimo produto fácil instalação e muito bonita moderna
89,True,pequeno compacto mais muitoooooooo eficiente ameiiiiiiii recomendo
90,True,ótimo produto original recomendo a todos podem comprar prazo de entrega dentro do esperado preço muito atrativo parabéns as americanas farei mais compras futuras
91,True,super bonita potente  demorou para chegar  preço otimo  recomendo
92,True,muito bom principalmente o prazo de entrega a qualidade no envio do produto
93,True,o tapete é suave ao toque pelos sedosos a cor mesclada dá um ar maravilhoso ao ambiente
94,False,procurei um carrinho com bateria para ficar livre das pilhas a bateria demora a carregar e dura  minutos o presente de natal foi uma frustação não  recomendo o brinquedo
95,False,além de vazar po no café a jarra escurece  péssima qualidade  tomar café com po na da né
96,True,produto muito bom atende ao que se propõe xxxxxxxxxx xxxxccccxxxxx ososoosososososiisisizizizi ososoosososiz
97,False,a primeira vez de uso quando fui guarda o fone na caixa a espuminha saiu do fone e pra colocar no lugar leva muito tempo
98,True,recomendo tanto o produto quanto a loja produto conforme anunciado e entrega antes do prazo previstomuito bom
99,True,não recebi o produto ainda devido ao feriado da passagem de ano o produto não chegou ainda em minhas mãos
100,False,comprei este pen drive só que a imagem não condiz com o produto veio de outro modelo
101,False,ainda não recebi meu pedido muita irresponsabilidade da loja colocou como entregue e ainda nao recebi nada
102,True,o ropo cumpre o que promete deve se dar muita atenção ao uso da bateria para prolongar a vida útil da mesma
103,True,excelente produto esquenta dá o formato desejado adorei e recomendo
104,False,muito básico gostei mais ou menos   a aparência da propaganda não retrata o produto
105,True,bom produto  feliz semana e  cheio de amor  alegrias e grandes realizações
106,True,adorei recomendo o todos que uma perfeita proteção para sua moto e detalhe o produto chegou antes do prazo perfeito protege mesmo e continua impermeável super recomendo ha detalhes meu marido quer que eu compro uma pra ele
107,True,um bom produtogela na medida certafácil entalação
108,False,câmera não tem wifi como anunciado e nem todos os acessórios que constam na descrição e nas fotos vêm com a câmera
109,True,celular fantástico rápido muita capacidade leve tira fotos de altíssima qualidade e muito fácil de usar
110,False,pior nao poderia ser vende extorna não entrega e debita na fatura ja enviei email reclamando e tambem nao tive retorno
111,True,produto entregue dentro do prazo e de acordo com a descrição recomendo todas funcionando perfeitamente
112,True,excelente excelente excelente excelente excelente excelente  excelente excelente excelente excelente excelente excelente  excelente excelente excelente excelente excelente excelente  excelente excele nte excelente excelente excelente excelente  excelente excelente excelente excelente excelente excelente
113,True,o produto é muito bom mas tive problemas com a entrega no site estava marcado um prazo que não foi cumprido só depois de  dias a la entrou em contato comigo perguntando se ainda queria o produto só recebi o produto  dias depois portanto eu recomendo o produto mas não recomendo a la a não ser que vc queira passar muita raiva
114,True,produto como sempre entregue antes do prazo parabéns americanascom pela agilidade
115,True,se autoprograma facilitando muito para quem tem dificuldades com informatica apenas o audio de todas as tvs samsung são muito baixo ruim é a segunda tv samsung e infelizmente o audio deixa a desejar
116,True,ótimo custo beneficio tamanho ideal silenciosa mantém a temperatura
117,True,antes com travesseiro comum eu acordava com dores no pescoço e passava pra cabeça agora acordo sem dores este produto foi muito bom pra mim parabéns recomendo
118,True,um produto de ótima qualidadefácil de usar vale muito a pena
119,True,é bacana mas a gente tem que se aproximar muito da peça o que atrapalha para executar uma solda por ex
120,True,muito bom a cada ano a jogabilidade fica mais parecido com a real
121,False,foi bom eu achar esse anúncios pois não sabia que dava pra fazer falsas avaliações sobre os produtos isso faz com que a americanas perca a confiabilidade ao meu ver onde esse copo está barato péssimo
122,True,ótimo produto para que é colecionadormuito bonito e uma boa fabricante excelente mesmo
123,True,gostei muito do produto gostei muito do produto gostei muito do produto
124,True,muito bom recomendo só um ponto que poderia ser diferente é power atrás
125,False,não posso avaliar algo que comprei e nunca recebi não recebi e nem tive meu dinheiro devolvido não recomendo a loja comprar em outros lugares ou em lojas físicas trás menos transtornos
126,False,produto ainda não foi entregue aguardando a transportadora fazer o serviço
127,True,terceiro motorola que tenho e só posso dizer que amoooo
128,True,o produto chegou antes do prazo e é um excelente produto
129,True,a barbie é articulada o cachorro dá alguns passinhos quando damos corda e faz cocô quando abaixamos seu rabo a boneca não fica em pé sozinha
130,True,recebemos antes do prazo prometido o produto estava bem embalado e facil montagem
131,True,excelente produto muito bom bonito design super moderno de ótima qualidade gostei muito
132,False,nao recebi o produto na data marcada nao existi um telefone de facil acesso para se informar e o atendimento ao cliente pelo email é péssimo nao tira suas dúvidas
133,True,celular de qualidade como nas especificações e veio tudo certo no prazo
134,True,este tablet apresenta uma boa performance tanto para uso da internet como para programas instalados nele o tamanho da tela e a qualidade da imagem resolução são plenammente satisfatórios para o uso pretendido ou seja tem bom custo benefício um ponto para melhoria seria aumentar sua memória interna pois ela é inferior a um outro modelo mais antigo no entanto isso pode ser contornado adquirindo cartões de memória micro sd pois este aparelho possui uma entrada para isso
135,True,não tive problema nenhum de dor eficiente e prático super indico
136,True,atendeu as expectativas manual com informações suficientes para o início do uso fácil manuseio
137,False,lixo  paguei e não recebi fora de prazo  ninguém resolve nada 
138,True,o brinquedo é muito bomporém imaginei que fosse um pouquinho maior
139,True,produto de ótima qualidade eu recomendo muito esse celular tem um ótimo custo beneficio
140,True,produto prefeito super bonito e atende todas as necessidades
141,True,ótima imagem e som o tamanho dela possibilita instalar em vários ambientes
142,True,bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla bla  compre
143,True,ótima entrega parabéns às lojas americanas por cumprir a entrega
144,True,produto muito bom de ótima qualidade recomendo
145,False,como assim comprei e não recebi questionei aqui nas lojas americanas os correios registraram como produto entregue e ficou por isso mesmo meus protestos mesmo sabendo que tudo será como antes  obs não recomendo as lojas americanas grrrrr
146,True,monitor top sem duvidas com as cores muito boa varias regulagens de altura angulo monitor bonito base super completa  deixa tudo muito liso
147,True,produto excelente ótimas funções rápido visual muito agradável
148,True,o produto é muito ótimo bem macio extremamente confortável
149,True,muito bom amei o melhor que não precisa furar parede e fazer aquela sujeira que ninguem gosta
150,True,aparelho muito bom discreto e cumpre a função gostei
151,True,ótimo produto muito rápido fácil uso muito bonito ótimas funções
152,True,esse livro é perfeito para aqueles que querem encontrar a pessoa certa ele fala de antes e durante o noivado e depois fala da conquista e tudo mais
153,True,gostei muito porque firma bem todas as cordas e não deixa trastejar 
154,True,ótima amei mais uma vez americanas arrasando na entrega produto de otima qualidade recomendo muito
155,True,para substituição de outros óleos na culinária exceto para temperar nesse caso o melhor é  o azeite de oliva
156,False,compra efetuada em  de dezembro até hoje dia  não foi  no destino a questao é que foram feitas duas compras sendo que uma foi entregue porém a outra camisa não foi entregue até hoje
157,True,funciona muito bem  fácil de instalar  chegou no prazo correto 
158,True,aparelho de excelente qualidade faz o que promete
159,True,nada mal tempo de entrega antes do prazo sobre o celular ótimo atendeu muito bem ao que eu esperava bateria em média  dia e meio 
160,True,entrega antes do prazo estão de parabéns excelente trabalho
161,False,gente isso é uma pegadinha né eu sei que vivemos numa sociedade que aceita o livre comércio mas um copo por  reais só pode ser brincadeira passada aqui printei a tela p não dizerem q estou mentindo acho q foi erro de digitação só pode
162,True,excelente para quem como eu já não tem força para torcer panoe limpa perfeitamente o chão
163,True,walita master pro era modelo anterior funciona ate hojerobusto e mais silencio porem pouco menos pratico em relação ao atualnatural evolução  mas excelente produto a mais dez anos sem nenhuma manutenção comprei um mais atualizado e pratico ao uso dos acessóriosporem barulhentofica ai a dica para posterior melhoriasqto a trituração dos alimentos no liquidificador a granulação e maior ao anteriordevido o novo designer das laminas enfim um bom produto ha pontos a ser aprimorados para atingir a excelência
164,True,gostei muito ótima smart tv melhor do que imaginei
165,True,o produto correspondeu com  espectativa realizando eficientemente a atividade que propunha
166,True,muito bom o celular chegou antes do prazo eu recomendo
167,True,um ótimo produto atende super bem e a entrega chegou antes da data estimada estou super satisfeita a loja americana é show só compro nas americana
168,True,esta tv é muito boa entrega o que promete e pelo preço não poderia ser melhor imagem e som muito bons no anuncio esta escrito que ela não aceita netflix então não considero isso um ponto negativo pois ja comprei sabendo parabens a philco
169,False,sei que não vão publicar minha avaliação pois é negativa mas ainda vou entrar em contato com a lg para saber onde está o sistema de som surround plus pois na minha parece um radinho de pilha que decepção tenho o lg   maravilhoso e acreditei nesse mas como perdi o prazo de devolução tive que engolir porém se arrependimento matasse essa hora não estaria fazendo esta avaliação e mais é feia pés pretos e grossa tá aí minha avaliação publiquem por favor vai ajudar muita gente a não comprar tanto que comprei mais uma e assim que chegar devolverei pois não tinha experimentado a que já estava aqui
170,True,excelente custo benéfico as baquetas possuem um bom acabamento e chegaram  no prazo
171,True,fiquei  muito contente ótimo custobenefício  recomendo
172,True,o aparelho é potente e sua diversidade de ferramentas torna o produto muito completo
173,False,não tão forte como esperava e já quebrou ele veio em uma embalagem meio rudimentar não senti muita qualidade
174,False,já estão me mandando avaliar um produto que nem recebi o mesmo já está em atraso e não consigo contato com a americanascom quando  ligo o contato é  só  com gravações  e enquanto isso estou aqui a ver navios americanas agora vcs me surpreenderam porque isso nunca tinha acontecido antes
175,True,excelente bateria aguenta bastante tempo realmente eficiente recomendo
176,True,muito bom esse copo vendo meu carro para comprar e não  me arrependoagora invés de perder tempo no trânsitodesfruto se maravilhosos milk shakes
177,False,o produto e vendido como suporte universal no entanto ele é apenas para modelos mais novos de carros chegou nem perto de dar certo em meu veículo solicitei a devolução do produto a um mês atrás e até o presente momento não recebi o email com as recomendações para devolução
178,True,as frases do jogo que poderia ser menos vulgar só crítico isso no jogo tirando  isso é bem interessante
179,True,divertido prático e fabricado material de qualidade porém soh um adesivo q começou a soltar
180,True,tiveram dúvidas na entrega mas solucionaram rapidamente o produto chegou conforme o pedido meus gatos adoram esta ração e o preço é excelente
181,True,produto original entrega rápida eu recomendo  e vou comprar novamente
182,True,ótimo produto só que muito difícil de encontrar nas lojas convencionais entrega muito rápida
183,True,ótimo produto recomendo  a todos produto excelente da alta qualidade
184,True,excelente produto prático rápido e eficaz vale a pena comprar com certeza
185,True,apenas uma redomendacao deverie ser escrito no site de que essa ferramenta nao pode ser utilizada para furar cimento ou concreto porque nao tem a funcao martelo
186,True,material muito bom entrega foi antes do prazo com custo beneficio muito bom
187,True,houve atraso na entrega mas fui prontamente atendida pelos fornecedores e pude retirálo nos correios
188,False,produto com avaria  defeito botão não funciona   foi pedido devolução  ainda no aguardo do reembolso do valor  falta de respeito com o consumidor
189,True,bom produto e boa entrega chegou antes da prazo definido
190,True,uma maquina recomendado para trabalhos leves ajuda bastante no diadia e é ótimo para iniciantes recomendo
191,False,estou aguardando a troca do meu produto desde o dia 
192,False,o produto não serve para nada o motor não tem potência suficiente para cumprir o que promete a lixa não tira nem a a pele morta dinheiro jogado fora péssimo
193,True,gostei muito do produtooooooooooooooooooooooooooooooooooooooooooooooo
194,True,gostei muito ponta desliza facilmente pelo papel e a cor é linda
195,True,produto de boa qualidadesuperou minhas expectativas
196,True,recomendo muito boaotima qualidade a chapinha e chegou antes do prazo
197,True,produto de qualidade prático para quem precisa se organizar
198,True,recomendo principalmente por ser um aparelho com  gb espaçoso por dentro  porém em pequeno volume pra usar no bolso  por um  preço bem acessível  site seguro recomendo lojas americanas
199,True,o produto cumpre o que promete uma pena não ter conexão de internet wifi
200,True,atrasou a entrega e fiquei na mão para dar o presente do meu irmão
201,True,lindo confortável comprei tamanho m equivale ao número  não tem regulador atrás só nas alças estica pouco quem tem as costas largas deve comprar u tamanho maior amei
202,False,o produto veio quebrado mandei de volta há mais de um mês e não tive retorno nenhum nem do vendedor e nem da americanas que na minha opinião é quem anuncia em sua página e deveria dar pelo menos uma satisfação aos clientes pelo telefone ninguém sabe de nada não recomendo e nunca mais compro nesse site
203,False,o sistema de vcs é burronão viram q eu cancelei a compra por não foi entregue • não recomendo a americanas e seus parceiros
204,True,gostei do produto e chegou antes do previsto porém veio faltando uma pecinha para montar a roda
205,False,comprei um celular  a entrega foi muito rápido em uma semana mais em compensação comprei um fogão  antes do celular já faz mais de quinze dias e a transportadora não movimenta o produto ainda está em emitindo nota fiscal
206,False,o produto deveria ser testado antes do enviopois o meu ja veio com defeito
207,True,superou expectativas  é excelente para jogos super rápido tela full hd tamanho ideal leve e pratico
208,True,atendeu as minhas expectativas meus netos apreciaram muito o produto
209,True,achei o material dos batedores meio estranho não é aço inox não sei se de outras marcas é assim quanto ao funcionamento não posso avaliar pois não utilizei
210,True,produto de excelente qualidade entrega rápida antes do prazo estipulado muito satisfeito obrigado
211,True,é um ótimo produto tem se a ideia de cinema penso que o consumidor não se arrependera
212,True,já paguei há  dias e não chegou até hoje favor me posicionar
213,False,vcs pedem atualização da avaliação e não fazem nada devolvam o dinheiro e a taxa de transporte
214,True,só não  pro celular pq a camera frontal deixa a desejar um pouco  mas é um celular bom e a entrega de vcs mto rápida recebi com uma semana do prazo parabéns
215,True,a fixação da lâmina contém parafuso que enrosca na cerca e pode arrancar a cerca do muro embaixo da lâmina deveria ser liso de outra forma com parafuso praticamente embutido ou virado para cima sem quaisquer ponta para baixo  para ser um produto tramontina e de último lançamento é um erro grotesco na verdade uma enjambração                no mais funcionaria e seria perfeito precisam trabalhar e muito porque deixa um produto pouco eficiente
216,True,estou gostando do produto é de boa qualidade e designer bonito
217,False,nunca mais compro no site da americanascom  produto chegou após a data estipulada e olha que passou mais de  dias o fio veio com mal contato e não veio nota fiscal deve ser contrabando ou sonegação fiscal 
218,True,produto funciona perfeitamente para microirrigacão de hortas ou pequenos pomares ligando e desligando nos horários programados econômico e resistente
219,False,a americanas e muito irresponsável pois a entrega ainda não chegou
220,False,infelizmente a costura soltou no  o dia de uso enchi cautelosamente e procurei limpar bem o chão para não haver nenhum risco de achar algo que pudesse furalo mas mesmo assim rasgou com um peso de  kg num colchão de casal definitivamente não recomendo o produto
221,True,o produto atendeu minhas expectativas um bom limpador para piso de madeira
222,True,estou muito satisfeita com o meu  pro é um smartphone incrível em todos os quesitos tela super amoled de  câmeras excelentes memória interna de  gb boa fluidez de processamento bateria com ótima durabilidade super indico esse aparelho
223,True,muito bom produto de ótima qualidade recomendo pra quem gosta de qualidade
224,True,celular muito bom chegou tudo certo sem problemas e chegou antes do prazo estipulado
225,True,tudo ok conforme anunciado tudo ok conforme anunciado
226,True,pratico e funcional fácil instalaçao e boa iluminaçao
227,True,a lg nunca me decepcionou essa televisão é excepcional super rápida não precisa de carregamento nem espera para iniciar os aplicativos netflix entra em questão de menos de  segundos
228,True,excelente aparelho bonito funcional vale a pena
229,False,aguardo o produto sem contato do fornecedor desde o dia  enviei varios email relamei e não obtive retorno tava muito barato pra ser verdade mesmo
230,True,gostei bastante achei totalmente funcional rapidamente o churrasco fica pronto parabéns só achei um pouco frágil magrinha mas é bacana
231,False,comprei três brancos os três chegaram com defeito um arranhado um quebrado e o outro amassado na parte do encaixe enviei a solicitação para troca e até agora não obtive resposta quanto a troca estou totalmente insatisfeita
232,True,tem uma ou outra loja que é uma piada sempre uma delas está envolvida mas prefiro não citar nomes  não sei como as lojas americanas conseguem fazer negócios com essa empresas  coloca o preço dos produtos muito mais baixo que o normal e depois aumenta absurdamente o frete a média dos fretes das lojas sendo entre  e  reais e ela chega a aumentar até para  reais em relação à lojas de mesma localidade
233,True,ótimo produto pena que no estoque não tinha mais pois queria mais pares
234,True,produto de excelente qualidade entrega super rápida
235,True,americanas está de parabéns entrega super rápida chegou antes do esperadocelular ótimo
236,True,bicicleta de ótima qualidade recomendo o produto e americanascombr para compras 
237,False,estou complemente insatisfeito com a loja americanas não recebi meu produto
238,False,comprei esse produto pra dar de presente e não recebi a mercadoria a empresa colocou status de entregue sem entregar a mercadoria não comprem é furada a empresa não honra compromissos
239,False,qd chega na velocidade máxima ela solta óleo  recebi um produto reembalado só pode
240,True,otimo produto recomendo para quem gosta desse tipo de jogo entrega super rápida e o cd veio dentro da caixinha
241,True,bom produto cumpre o que promete seria melhor de fosse hd full recomendo
242,True,produto muito bom  chegou  antes do prazo recomendo tanto o produto quantos a empresa
243,True,por esse preço impossível não comprar corra só  em estoque
244,True,celular muito bom perfeito valeu a pena é a entrega muito rapida
245,True,ativa o lado criativo das crianças excelente produto
246,True,melhor copo que já usei em toda a minha vida incrível como cabem  ml além de barato eles dividem em até  vezes
247,True,o produto é otimo porém quen vende não é responsavel pois deixou para liberar a nota no dia que era para o produto ter chegado em minha casa
248,False,á boneca foi enviada sem nota fiscal quando abrimos a embalagem vimos que a boneca estava com vários defeitos como a cabeça mole mamadeira toda torta e soltando todo gliter mais parece uma réplica solicitei cancelamento mas até hoje nenhuma resposta não sejam enganados não comprem ou iram se arrepender  pior experiência de compra que já tivemos decepção
249,True,excelente compra fiquei com medo de comprar por não achar nenhuma avaliação resolvi arriscar ótimo produto tamanho ideal super confortável e leve  recomendo esse carrinho com toda certeza
250,True,bom principalmente pelo preço que é bem em conta é produto de entrada então não tem display colorido mas faz as funções que promete e deve ser usado junto com o app garmin connect que é muito interessante já tive vários outros monitores cardíacos então posso dizer que a leitura da freqüência pelo pulso como este faz não é muito exata mas para efeito de saber a freqüência média é válido é um ótimo incentivo para a prática de atividades físicas e acompanhamento de sua rotina em termos de esportes recomendo
251,True,boa qualidade e bonito confortavel a entrega foi rapida acho ate que vou comprar mais o preco e otimo
252,True,relógio perfeito lindo funcionando dentro do esperado entrega dentro do prazo aprovado
253,False,não é o mesmo material do original mas parece bom
254,True,o celular é muito bom tudo dentro das expectativas funcionamento aparência e desempenho
255,False,produto recusado porque chegou só depois do natal
256,False,como pedem minha avaliação se não recebi o produto e fui informada que o mesmo foi extraviado e que não teria outro em estoque o estranho é que o produto está disponível até o momento no site  mas ao menos meu dinheiro foi devolvido o que comprova a honestidade das lojas americanas
257,True,comprei o mesmo para minha irmã e ela me contou que ele é ótimo rápido e a imagem é muito bonita tive oportunidade de mexer com ele e realmente ele cumpre com o que disse recomendo demais para quem estuda ou trabalha com um obrigado a americanas e a asus
258,False,quase  reais num copo preço absurdo                                                                         
259,True,entrega rápida apesar de levar um tempo para emitir a nf recomendado
260,False,palhaçada vou guardar todos esses emails para processar a americanas pela enganação avaliar um produto sequer eu recebi falta de respeito com cliente até hoje espero uma posição do meu produto aliás já estou pagando a fatura sem ter o produto bando de irresponsável que fazem tudo ao contrário que prometem vou no procon e processar americanas por danos era presente de aniversário
261,True,excelente promoção por esse preço você levaria somente o canudo nessa promoção o copo vai grátis
262,True,um excelente produto muito bom os benefícios para o corpo
263,True,melhorar a câmera e pelo custo benefício me atende bem
264,True,o objetivo de obter uma fina camada de azeite foi atingido com esse spray
265,True,entrega veio rápido e tudo ok com certeza super recomendo
266,True,vejam bem e um produto com uma estética bom para uma criança as a conforte nem um no produto
267,True,recomendo  ótimo excelente cjjfgjkklo ghhghjjhh gjjkjh jk kk hjhhjkkjbk bjkklmkkkkk
268,True,excelente aparelho muito bom custo benefício visual muito bonito
269,True,não deixa a dever em nada no que se propõe bom processador abre os aplicativos rapidamente bateria duravel vem com excelentes recursos desenvolvidos pela asus dei um para minha esposa gostei tanto que comprei um pra mim lojas americanas sempre entrega antes do prazo tem nome é confiável e entrega produtos de qualidade
270,True,adorei e recomendosem falar que a entrega é bem rápida antes do prazo
